               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.029458,            0.011762,            0.020737,             0.33718,             0.44751,             0.37936,             0.25746,            0.041353,           0.0055373,            0.059152,           0.0090496,           0.0090496,           0.0090496
                  98,            0.027207,            0.012175,            0.017629,             0.34351,             0.42693,             0.38968,             0.26478,            0.046709,           0.0059519,            0.059644,           0.0090397,           0.0090397,           0.0090397
                  99,            0.029571,            0.012583,            0.019241,             0.39887,             0.43898,             0.41424,             0.30636,            0.041637,           0.0055454,            0.059131,           0.0090298,           0.0090298,           0.0090298
                 100,            0.031658,            0.011308,            0.017761,             0.42322,             0.49541,             0.46903,              0.3487,            0.040599,           0.0054998,            0.059216,           0.0090199,           0.0090199,           0.0090199
                 101,            0.028857,            0.011858,            0.016572,             0.46234,             0.44279,             0.45852,             0.35177,            0.039557,           0.0054889,            0.056557,             0.00901,             0.00901,             0.00901
                 102,            0.028752,            0.011211,             0.02287,             0.46251,             0.56437,             0.50224,             0.39066,            0.038051,           0.0053999,            0.050511,           0.0090001,           0.0090001,           0.0090001
                 103,             0.02957,            0.011392,            0.025615,              0.5277,             0.46746,             0.51073,             0.38926,            0.037108,           0.0052464,            0.052754,           0.0089902,           0.0089902,           0.0089902
                 104,            0.027969,            0.010739,            0.022005,             0.50629,             0.50083,              0.5228,              0.3853,            0.039086,           0.0054953,            0.051173,           0.0089803,           0.0089803,           0.0089803
                 105,            0.029203,            0.012278,            0.019459,             0.38961,             0.38611,             0.42178,             0.31222,            0.038807,           0.0058908,            0.052263,           0.0089704,           0.0089704,           0.0089704
                 106,             0.02864,            0.012046,            0.022875,             0.31166,             0.35894,             0.35798,             0.26246,            0.040493,           0.0059521,            0.060306,           0.0089605,           0.0089605,           0.0089605
                 107,            0.026896,            0.013006,            0.020558,             0.28051,             0.34308,              0.3375,             0.24393,            0.040593,           0.0069151,            0.062613,           0.0089506,           0.0089506,           0.0089506
                 108,            0.027784,            0.012969,            0.018643,             0.38762,             0.42924,             0.40561,             0.28907,            0.043467,           0.0076804,             0.05457,           0.0089407,           0.0089407,           0.0089407
                 109,            0.028315,              0.0107,            0.017037,             0.31376,             0.34087,             0.29976,             0.20466,            0.047388,           0.0093498,            0.062421,           0.0089308,           0.0089308,           0.0089308
                 110,            0.027178,            0.012504,            0.020058,             0.39933,             0.33736,             0.29614,             0.18601,            0.047331,           0.0089438,            0.062303,           0.0089209,           0.0089209,           0.0089209
                 111,            0.026796,             0.01101,            0.017748,              0.5012,             0.39864,              0.4209,             0.29706,            0.041736,           0.0072207,            0.059451,            0.008911,            0.008911,            0.008911
                 112,            0.027986,            0.010767,            0.015472,             0.45046,             0.47798,              0.4233,             0.32099,             0.04393,           0.0077999,            0.059953,           0.0089011,           0.0089011,           0.0089011
                 113,            0.028084,            0.011445,            0.015229,             0.44531,             0.44769,             0.40875,             0.30206,            0.041805,           0.0068059,            0.062015,           0.0088912,           0.0088912,           0.0088912
                 114,            0.028464,            0.012834,            0.019736,             0.52704,             0.50425,             0.47626,             0.35015,            0.041901,           0.0060523,            0.062314,           0.0088813,           0.0088813,           0.0088813
                 115,            0.029124,            0.012196,             0.02124,             0.57908,             0.41204,             0.46987,             0.34542,            0.042245,           0.0060749,            0.058202,           0.0088714,           0.0088714,           0.0088714
                 116,            0.026606,            0.011455,            0.016614,             0.50943,             0.48856,             0.45566,             0.34081,            0.042738,           0.0057464,            0.057219,           0.0088615,           0.0088615,           0.0088615
                 117,            0.027004,            0.012911,            0.018457,             0.63542,             0.54397,             0.55647,             0.41883,             0.03836,           0.0057616,            0.047018,           0.0088516,           0.0088516,           0.0088516
                 118,            0.028151,            0.011864,            0.016915,             0.56071,             0.47054,             0.55907,             0.43238,            0.040025,           0.0054848,            0.051003,           0.0088417,           0.0088417,           0.0088417
                 119,            0.027516,            0.012297,            0.015939,             0.55511,             0.50846,             0.53016,             0.40825,            0.041205,           0.0052755,            0.050928,           0.0088318,           0.0088318,           0.0088318
                 120,            0.028826,            0.012914,            0.018235,             0.44765,             0.46429,              0.4452,             0.34066,            0.035677,           0.0052221,            0.056664,           0.0088219,           0.0088219,           0.0088219
                 121,            0.025848,            0.010922,            0.022845,             0.52261,             0.46352,             0.50345,             0.38664,            0.035573,           0.0053093,            0.054036,            0.008812,            0.008812,            0.008812
                 122,            0.026325,            0.011419,            0.017323,             0.44274,             0.48234,             0.46309,             0.34123,            0.037033,           0.0056221,            0.051131,           0.0088021,           0.0088021,           0.0088021
                 123,            0.026871,            0.010683,            0.016609,             0.46791,             0.40357,             0.40312,             0.30248,             0.03809,           0.0057313,            0.061107,           0.0087922,           0.0087922,           0.0087922
                 124,            0.028042,            0.011848,            0.013902,              0.5239,             0.36176,             0.44709,             0.33497,            0.041045,           0.0057547,            0.065005,           0.0087823,           0.0087823,           0.0087823
                 125,            0.023683,            0.010576,            0.014783,             0.59213,             0.34106,             0.46536,              0.3426,             0.04096,           0.0056908,            0.070634,           0.0087724,           0.0087724,           0.0087724
                 126,            0.027775,            0.012089,            0.022657,             0.65314,             0.46093,             0.54082,             0.41366,            0.041715,           0.0054779,            0.056621,           0.0087625,           0.0087625,           0.0087625
                 127,            0.028458,            0.010515,            0.020355,             0.60289,             0.49655,             0.56863,             0.43053,            0.040142,           0.0057402,            0.054175,           0.0087526,           0.0087526,           0.0087526
                 128,            0.028025,            0.012088,            0.018934,             0.52192,             0.47313,             0.50666,             0.38816,            0.039912,           0.0060713,            0.056888,           0.0087427,           0.0087427,           0.0087427
                 129,            0.026601,            0.011727,            0.016364,             0.42246,             0.44053,             0.42305,             0.31044,            0.040035,           0.0058627,            0.063147,           0.0087328,           0.0087328,           0.0087328
                 130,            0.028816,            0.012021,            0.016439,             0.37855,             0.49771,             0.44536,             0.29594,            0.040495,            0.006242,            0.061075,           0.0087229,           0.0087229,           0.0087229
                 131,            0.028417,            0.012034,            0.015186,             0.57109,              0.4129,             0.47395,             0.32877,            0.043023,           0.0061352,            0.056375,            0.008713,            0.008713,            0.008713
                 132,             0.02762,            0.012355,            0.020512,             0.44525,             0.49702,               0.473,             0.34937,            0.038636,           0.0059779,            0.072098,           0.0087031,           0.0087031,           0.0087031
                 133,            0.026433,            0.011476,            0.016191,             0.40723,             0.37576,             0.37887,             0.28082,            0.038176,           0.0059226,            0.077097,           0.0086932,           0.0086932,           0.0086932
