                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     41,               0.041773,               0.025624,               0.016091,               0.050904,               0.092876,                0.62024,                0.15507,               0.083893,               0.093615,                0.56508,                0.13846,               0.059318,               0.065114,               0.056146,              0.0061862,               0.049496,               0.009604,               0.009604,               0.009604
                     42,               0.043007,               0.019588,                0.01387,               0.052398,                0.10399,                0.65147,                0.13114,               0.057895,                0.10401,                0.61973,                0.13739,               0.070472,               0.065521,               0.038384,              0.0068147,               0.049593,              0.0095941,              0.0095941,              0.0095941
                     43,                0.04236,               0.024417,               0.014724,               0.051863,                0.10325,                0.59578,                0.17144,               0.088533,               0.092156,                0.52495,                 0.1448,               0.073733,               0.061741,               0.042749,              0.0067251,               0.050276,              0.0095842,              0.0095842,              0.0095842
                     44,               0.040905,                0.02262,               0.014785,               0.053091,                 0.1097,                0.64982,                 0.1701,               0.088057,                0.10731,                0.60298,                0.16732,                0.10712,                0.05672,               0.031575,              0.0064344,               0.050607,              0.0095743,              0.0095743,              0.0095743
                     45,               0.043615,               0.022426,               0.014704,               0.052627,               0.094052,                 0.5873,                 0.1705,               0.088401,               0.085491,                0.66349,                0.16505,                0.12066,               0.058634,               0.041373,              0.0063603,               0.054538,              0.0095644,              0.0095644,              0.0095644
                     46,               0.039301,               0.021779,               0.014549,               0.051926,               0.095954,                0.47817,                0.17302,               0.097781,               0.095954,                0.47817,                0.17055,                0.12793,                0.05421,               0.037173,              0.0062695,                0.05379,              0.0095545,              0.0095545,              0.0095545
                     47,                0.03993,               0.021551,               0.014114,               0.051659,                0.12527,                0.62004,                0.19886,                0.11312,                0.12608,                0.61409,                0.19514,                0.14349,               0.051761,               0.033623,              0.0056944,               0.050052,              0.0095446,              0.0095446,              0.0095446
                     48,               0.040202,               0.022958,               0.014246,               0.050674,                0.13995,                0.68361,                0.21707,                 0.1427,                0.13985,                0.68745,                0.21716,                0.15117,               0.050766,               0.030831,              0.0055888,               0.050842,              0.0095347,              0.0095347,              0.0095347
                     49,               0.038839,               0.019207,               0.014355,               0.051541,                0.13478,                0.53984,                0.21949,                0.13197,                0.13217,                0.54028,                0.22042,                0.14771,               0.051162,               0.026186,              0.0057127,               0.047542,              0.0095248,              0.0095248,              0.0095248
                     50,               0.040961,               0.022034,               0.015282,               0.051375,                 0.1378,                0.48138,                0.26576,                0.15674,                0.13205,                0.46115,                0.25592,                0.17792,               0.051668,               0.027606,              0.0061319,               0.045769,              0.0095149,              0.0095149,              0.0095149
                     51,               0.035059,               0.019175,               0.013285,               0.050526,                0.13359,                0.44901,                0.24389,                0.15325,                0.13098,                0.45794,                0.24504,                0.18149,               0.047183,               0.027556,               0.006355,               0.045427,               0.009505,               0.009505,               0.009505
                     52,               0.036768,               0.021885,               0.016529,               0.050367,                0.15401,                0.69682,                0.23561,                0.14899,                0.15392,                0.63552,                0.23387,                0.17519,               0.054498,               0.027013,              0.0056365,               0.048332,              0.0094951,              0.0094951,              0.0094951
